month,year,Discharge flow
Jul-13,2013,44.1
Aug-13,2013,48.3
Sep-13,2013,46
Oct-13,2013,28.8
Nov-13,2013,22.5
Dec-13,2013,19.2
Jan-14,2014,0
Feb-14,2014,13.3
Mar-14,2014,26.4
Apr-14,2014,36.3
May-14,2014,3.5
Jun-14,2014,44.9
Jul-14,2014,32
Aug-14,2014,22.4
Sep-14,2014,27.8
Oct-14,2014,9.3
Nov-14,2014,0
Dec-14,2014,0
Jan-15,2015,10.8
Feb-15,2015,0
Mar-15,2015,25.9
Apr-15,2015,0
May-15,2015,35.3
